Rank,Creator Logo,Creator Profile,Creator Name,Followers,Best Sellers,Best Seller Images,Revenue,Revenue Trend,Content Views,Views Trend,Creator Debut Time
1,creator_logo_1.png,@popmart.usshop,POP MART US SHOP,293.66k,"THE MONSTERS - Have a Seat Vinyl Plush Blind Box, Mystery Box, THE MONSTERS - Have a Seat Vinyl Plush Blind Box, Whole Set, THE MONSTERS COCA-COLA SERIES-Vinyl Face Blind Box","creator_1_image_1.png, creator_1_image_2.png, creator_1_image_3.png",$2.02m,revenue_trend_1.png,18.8m,views_trend_1.png,03/29/2024
2,creator_logo_2.png,@iamstormisteele,CANVAS BEAUTY BRAND,515.8k,"LIMITED EDITION TRIOS- CANVAS Beauty, (NEW) BODY GLAZE: Pick your favorite scent!, ROLL ON FRAGRANCE OIL- pick your favorite scent!","creator_2_image_4.png, creator_2_image_5.png, creator_2_image_6.png",$1.55m,revenue_trend_2.png,7.72m,views_trend_2.png,08/28/2023
3,creator_logo_3.png,@simplymandys,simplymandys,349.59k,"Shampoo Trio, Galis Trio Bundle, Galis Combo","creator_3_image_7.png, creator_3_image_8.png, creator_3_image_9.png",$1.30m,revenue_trend_3.png,9.76m,views_trend_3.png,02/29/2024
4,creator_logo_4.png,@kaleysolitro,Kaley Solitro,44.01k,"tarte concealer paw brush - angled for seamless application, tarte colored clay CC undereye corrector, Judy Blue PENELOPE High Waist Side Panel Barrel Leg Jeans","creator_4_image_10.png, creator_4_image_11.png, creator_4_image_12.png",$1.20m,revenue_trend_4.png,6.24m,views_trend_4.png,05/03/2024
5,creator_logo_5.png,@acbreakz,ACBreakz,26.11k,"ACBreakz Divisional Breakz, AFC v NFC Card Break!!! Get Into the Break Edition!!! ACBREAKZ!!!, THE MONSTERS Let's Checkmate Series-Vinyl Plush Doll","creator_5_image_13.png, creator_5_image_14.png",$1.05m,revenue_trend_5.png,3.65m,views_trend_5.png,09/30/2024
6,creator_logo_6.png,@popmart.uslocalshop,POP MART US Localshop,166.71k,"[BACK ORDER]THE MONSTERS COCA-COLA SERIES-Vinyl Face Blind Box [ship by Apr. 12th], MEGA JUST DIMOO 400% Mickey Mouse, Supreme Gloss","creator_6_image_15.png, creator_6_image_16.png, creator_6_image_17.png",$1.05m,revenue_trend_6.png,13.57m,views_trend_6.png,07/16/2024
7,creator_logo_7.png,@jeffreestar,Jeffree Star,7.78m,"tarte lights, camera, lashes™ platinum mascara - extreme volume, length & curl, Velour Liquid Lipsticks, Women's Solid Color Top & Wide Leg Pants Two-piece Set, Casual Fashion Cozy Three Quarter Length Sleeve Top & Trousers for Daily Outdoor Wear, Ladies Clothes for All Seasons","creator_7_image_18.png, creator_7_image_19.png, creator_7_image_20.png",$899.52k,revenue_trend_7.png,41.17m,views_trend_7.png,04/06/2020
8,creator_logo_8.png,@highland.fashion7,Highland Fashion,137.86k,"Women's Solid Color Tank Top & Wide Leg Cropped Pants Two-piece Set, Casual Sleeveless Top & Drawstring Waist Cropped Pants for Daily Wear, Ladies Two-piece Outfits for All Seasons, Two Piece Set Women, Two-Piece Set Women's Plain Button Lapel Neck Blazer & Suit Pants, Elegant Business Casual Long Sleeve Outerwear & Trousers for Daily Outdoor Wear, Women's Clothing for All Seasons, Halara Women's SoCinched High Waisted Scrunch Butt Lifting Workout Leggings, Tummy Control Shaping Training UltraSculpt Leggings with Pockets, Spring Yoga Pants for Women, Gym Outfit #springtok","creator_8_image_21.png, creator_8_image_22.png, creator_8_image_23.png",$898.44k,revenue_trend_8.png,5.71m,views_trend_8.png,03/07/2024
9,creator_logo_9.png,@influencedqueens,Alle Brean,461.8k,"tarte sculpt tape & blush tape duo - blush and bronzer, [medicube Official] Zero Pore Pads (AHA + BHA) | Korean No.1 Toner Pads, 3 Pack Bella All Natural Probiotics Iced Coffee - 500g","creator_9_image_24.png, creator_9_image_25.png, creator_9_image_26.png",$859.54k,revenue_trend_9.png,65.54m,views_trend_9.png,06/10/2024
10,creator_logo_10.png,@daisycabral_,Daisy Cabral,275.62k,"Bella All Natural Probiotics Kit ( 2 Liver Support Liquid, 2 Aloe Vera Liquid, 1 Colon Cleanse Powder (piña/pineapple flavor), 1 Probiotics Coffee), Bella All Natural Probiotics Mango Lemonade for Healthier Lifestyle","creator_10_image_27.png, creator_10_image_28.png, creator_10_image_29.png",$841.99k,revenue_trend_10.png,6.77m,views_trend_10.png,02/22/2020
